step,zero,one,ten
0,50000,50000,50000
50,35283,36107,38726
100,56771,55498,41627
150,55965,50931,50464
200,59472,56720,50751
250,65630,65632,60000
300,78502,58325,72751
350,82602,76742,86727
400,89916,89731,86770
450,92363,95444,89098
500,101136,99083,92120
550,100325,106496,100013
600,112910,118526,101241
650,127309,110203,113390
700,125937,133001,119514
750,131901,127097,111838
800,145611,138560,121425
850,143734,144283,122952
900,153297,150061,129939
950,151208,159076,127839
1000,166473,155292,133295
